QUEST_20150317_000001	Veuillez sélectionner l'utilisateur nécessitant une mise à jour de quête.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20161005_004901	Cependant, Modestas ne perdit jamais un pari, même dans les circonstances les plus{nl}désespérées. C'est pourquoi bien des années passèrent sans que personne n'apprenne la vérité{nl}sur la Statue de la Déesse. Modestas mourut invaincu, mais sans plus jamais parier après cet{nl}incident.	그러나 그 어떤 불가능해 보이는 조건에서도 모데스타스씨는 내기에 지지 않았습니다. 따라서 아무도 모데스타스씨에게서 여신상의 의문을 풀지 못한 채 세월이 흘러갔습니다. {nl}모데스타스씨는 죽을 때까지 내기에 지지 않는 불패의 내기꾼으로 죽었지만, 이미 언급한 것처럼 다른 내기는 전혀 하지 않는 삶을 살다 세상을 떠났습니다.				클라페다의 내기꾼	
QUEST_20161005_004902	Les gens ont enfin pu apprendre que la Statue de la Déesse de Klaipeda était censée représenter{nl}la Déesse Ausrine. La Déesse Ausrine a ôté le pari de la vie d'un homme, mais elle a aussi créé un{nl}mystère intéressant et une Statue de la Déesse au milieu de Klaipeda. 	그때에 이르러서야 모데스타스씨가 남긴 유언장 덕분에 클라페다의 사람들은 여신상이 기리는 대상이 아우슈리네 여신이였음을 알게 되었습니다. {nl}결국, 아우슈리네 여신께서는 클라페다의 한 내기꾼의 삶에서 내기를 거둬가시는 대신에 흥미진진했던 의문과 여신상 그리고 이야기 하나를 클라페다의 중앙에 놓아두신 셈입니다. 				클라페다의 내기꾼	
QUEST_20161005_004903	Un Certain Registre Alchimique (I)	어떤 연금술사의 기록(상)					
QUEST_20161005_004904	{s35} Un Certain Registre Alchimique (I){/}	{s35}{nl}어떤 연금술사의 기록(상){/}				어떤 연금술사의 기록(상)	
QUEST_20161005_004905	 J'écris ceci, voyant tant de gens peiner sur la voie de l'alchimiste, pour aider ceux qui viendront{nl}après moi à apprendre le Skill 'Magnum Opus.' Tout d'abord, transmuter un type de racine en{nl}un autre. L'instruction est la suivante.{nl}{nl} 0 | 0 | 0 0 | 0 0 Suivre l'instruction permet à l'utilisateur de transmuter un type de racine en un{nl}autre en le plaçant dans cet ordre. Cependant, cela ne s'applique pas à tous les types de racines.{/}	 많은 후기지수들이 연금술의 길을 따라 험난한 길을 걸어오고는 있지만, 그들이 겪는 어려움을 통감하고 있는 바, 이 책이 조금 더 널리 퍼져, 많은 후배들로 하여금 더 쉽게 마그눔오푸스 스킬을 익힐 수 있는 데 도움이 되었으면 하는 바이다.{nl} 첫째로, 어떤 줄기를 다른 줄기로 바꾸는 방법인데, 이것을 만드는 방법은 아래와 같다. {nl}{nl} 0 | 0 | 0 {nl} 0 | 0 {nl} 0 {nl} 이 방법대로 어떤 줄기를 배치하면, 다른 줄기로 바꿀 수 있다. 다만 아직 모든 줄기가 이것에 의해 변환되는것은 아닌 것 같다.{/}				어떤 연금술사의 기록(상)	
QUEST_20161005_004906	 Deuxièmement, la transmutation d'un type de coquille en un autre. Le procédé est légèrement{nl}plus compliqué que la méthode précédente. Certaines fonctionnent bien, d'autres beaucoup{nl}moins.{nl}{nl} 0 | 0 | 0 0 | x | 0 0 | 0 | 0 En les plaçant dans cet ordre, on peut transmuter un type de coquille en{nl}un autre.{/}	 두번째로, 한 종류의 껍질을 다른 종류로 변환시키는 방법인데, 이것은 직전에 설명한 다른 줄기로 바꾸는 것보다 조금 난해한 감이 있다. 제대로 되는 것도 있는가 하면 되지 않는 것도 있다. 방법을 적으면 아래와 같다. {nl}{nl} 0 | 0 | 0 {nl} 0 | x | 0 {nl} 0 | 0 | 0 {nl} 이 방법대로 배치하면, 한 종류의 껍질을 다른 종류로 변환할 수 있다. {/}				어떤 연금술사의 기록(상)	
QUEST_20161005_004907	 La dernière procédure à inclure dans cette partie 1 est la façon de transmuter un type d'aile en{nl}un autre. Les possibilités sont plus vastes que pour les deux précédentes. Même moi, l'auteur de{nl}ce livre, je ne peux toutes les répertorier. La procédure est la suivante.{nl}{nl} 0 | x | x | 0 x | 0 | 0 0 | x | x | 0 {nl}	 이 상권에서 마지막으로 기술할 것은, 한 종류의 날개를 다른 종류로 변환시키는 방법이다. 이것은 앞서 기술한 두가지보다 조금 더 많은 종류의 변환이 가능한데, 해당 변환에 대해서는 아직 필자로서도 정확한 종류를 파악하지 못할 정도였다. 기술하자면 아래와 같다. {nl}{nl} 0 | x | x | 0 {nl} x | 0 | 0 {nl} 0 | x | x | 0 {nl}				어떤 연금술사의 기록(상)	
QUEST_20161005_004908	 En dernier mot, je crois qu'il y en aura certains qui auront des difficultés à comprendre ce texte.{nl}Il vaut la peine de le répéter. Placez un type d'objet à l'endroit marqué  	 마지막으로 당부하건데, 이 글을 보고도 따라하지 못하는 후학이 분명 있을 것이라고 생각한다. 0 라고 적힌곳에는, 				어떤 연금술사의 기록(상)	
QUEST_20161005_004909	avec 0	한종류의				어떤 연금술사의 기록(상)	
QUEST_20161005_004910	 Mais pas à l'endroit marqué X. Ceci conclut les bases du Magnum Opus.	 아이템을 배치하고, x 라고 적힌곳에는 배치하지 않는 것이 마그눔 오푸스의 기본이다.				어떤 연금술사의 기록(상)	
QUEST_20161005_004911	Nous avons pu arriver ici en vainquant les démons dans la Zone Lolopanther. Nous pourrons{nl}aller dans la Zone Solmiki sans être gênés par les démons pendant un moment.	롤로팬서 구간의 마족들을 물리친 덕에 여기까지 올 수 있었어요.{nl}당분간은 마족들의 방해 없이 솔미키 구간까지 왕래할 수 있을 거예요.				큐폴 루타	
QUEST_20161005_004912	Cependant, nous ne devrions pas nous arrêter là. Les démons commenceront bientôt à nous{nl}attaquer.	하지만 멈춰선 안 됩니다.{nl}곧 마족들이 다시 몰려들 테니까요.				큐폴 루타	
QUEST_20161005_004913	Je suis certain que votre courage et vos sacrifices toucheront l'esprit des déesses.	여러분의 용기와 희생이 분명 여신의 마음을 움직일 겁니다.				큐폴 루타	
QUEST_20161005_004914	Les Lolopanther et Zones Solmiki ont été nommées d'après des animaux qui suivaient les{nl}déesses. Je suppose que cela peut être inhabituel pour les humains qui n'y sont pas habitués.	롤로팬서 구간과 솔미키 구간은 제미나 여신을 따르는 동물들의 이름을 따서 지었어요.{nl}이 곳을 오르는 인간들에겐 생소할 수도 있겠군요.				큐폴 루타	
QUEST_20161005_004915	Les démons de la Zone Solmiki sont bien plus forts. Vous devrez faire des préparatifs avant que{nl}nous puissions y aller.	솔미키 구간을 차지한 마족들은 이전의 마족들보다 훨씬 강력합니다.{nl}충분히 준비를 하셔야 합니다				큐폴 루타	
QUEST_20161005_004916	J'avais aidé la Déesse Zemyna avant que les démons prennent le contrôle de la Tour de terre.{nl}Cependant, je n'ai pas pu voir la Déesse depuis. Je suis devenue plus faible avec le 	마족들이 대지의 탑을 점거하기 전엔 제미나 여신을 보좌했습니다.{nl}하지만 마족들이 이 탑을 점거한 후, 여신을 뵐 수 없게 되었습니다.{nl}여신에게서 멀어지자 저는 하루가 다르게 약해지기 시작했습니다.				큐폴 루타	
QUEST_20161005_004917	Je suis devenu si faible que tout ce que je peux faire maintenant est de demander de l'aide. C'est{nl}pourquoi je vous attendais en me cachant des démons.	결국 누군가에게 도움을 요청해야만 할 정도가 되었지요.{nl}그래서 마족들의 눈을 피해 여러분이 오기만을 간절히 기다리고 있었습니다.				큐폴 루타	
QUEST_20161005_004918	Vous semblez porter un sceau des chefs démons. Je vous aiderai à traverser la Tour rapidement{nl}si vous me donnez ce sceau.	마족 우두머리들의 징표를 가지고 계시네요.{nl}제게 징표를 주시면 마족들의 눈을 피해 탑을 빠르게 돌파하도록 도와드릴 게요.				큐폴 루타	
QUEST_20161005_004919	Comment osez-vous violer le lieu de repos d'une Déesse. Qui êtes-vous ?	여신의 안식처까지 침범하다니.{nl}그대들은 누구입니까.				여신 제미나	
QUEST_20161005_004920	Mes plus sincères excuses d'avoir quitté ma place si longtemps. Les démons qui ont pris la Tour{nl}m'empêchaient de revenir. Je ne serais jamais revenu sans ces gens.	너무 오래 자리를 비워 송구하옵니다.{nl}탑을 점거한 마족들이 제가 여신께 이르는 길을 가로막았습니다.{nl}이들이 아니었다면 영원히 여신을 뵙지 못 하였을 것입니다.				큐폴 루타	
QUEST_20161005_004921	Je vous en supplie, ne les chassez pas...	그러니 여신이시여 이들을 내치지 마옵소서..				큐폴 루타	
QUEST_20161005_004922	Kupole Ruta parle du monde d'après Medzio Diena à la Déesse Zemyna.	큐폴 루타가 여신 제미나에게{nl}신수의 날 이후의 세계를 설명하고 있다				큐폴 루타	
QUEST_20161005_004923	J'ai pu rencontrer la Déesse grâce à vous.	여신을 다시 뵙게된건 모두 여러분 덕분입니다.				큐폴 루타	
QUEST_20161005_004924	J'aurais péri si je ne vous avais pas rencontré.	여러분이 없었다면 저는 그곳에서 소멸해버리고 말았겠지요..				큐폴 루타	
QUEST_20161005_004925	Je prévois de rester ici avec elle. Elle a besoin de moi.	저는 여기서 여신과 함께 머무를 예정입니다.{nl}제미나님껜 제가 필요하니까요.				큐폴 루타	
QUEST_20161005_004926	Je vais vous envoyer à l'entrée de la tour. Que votre voyage de retour soit sûr, Révélateur...	당신을 탑의 입구로 보내드리겠습니다.{nl}조심해서 돌아가십시오. 계시자여..				큐폴 루타	
QUEST_20161005_004927	Je prévois de rester près de la Déesse et de l'aider à se rétablir. Il y aura beaucoup à expliquer{nl}puisque le monde a grandement changé. Cependant, je suis sûr qu'elle retournera dans le{nl}monde puisqu'elle a vu votre courage et votre sacrifice.	제미나님 곁에서 회복하실 수 있도록 도울 예정입니다.{nl}그간 세상에서 눈을 돌리신 만큼 제가 설명해드려야 할 부분이 많겠죠.{nl}하지만 여러분의 희생과 용기를 보셨으니 분명 인간들을 위해 다시 세상 밖으로 나가실 겁니다.				큐폴 루타	
QUEST_20161005_004928	Je suis sûr qu'il y aura quelque chose que vous désirez puisque vous vous êtes efforcé d'arriver{nl}jusqu'ici. Je ne peux pas beaucoup vous aider, mais je pourrai vous aider avec vos questions.	이런 곳까지 오셨다면 제게 바라는 게 있으시겠죠.{nl}도움을 드릴 순 없지만 궁금증은 조금 풀어드릴 수 있을 것 같습니다.				여신 제미나	
QUEST_20161005_004929	Toute vie dans le monde vous aide à maintenir vos vies et votre bonheur. Même les petits brins{nl}d'herbe sur lesquels vous marchez.	온 누리에 자리잡은 생명들이 그들의 삶과 행복을 영위할 수 있도록 돕고 있습니다.{nl}당신이 서 있던 땅과 즈려밟은 조그마한 풀 한 포기까지도요.				여신 제미나	
QUEST_20161005_004930	Tout ce qui pousse sur la terre est comme un enfant pour moi.	제겐 땅 위에 살아가는 모든 것들이 자식과도 같습니다.				여신 제미나	
QUEST_20161005_004931	Le jour appelé Medzio Diena a été un choc pour moi aussi.	신수의 날이라 불리는 그 날의 일은 저에게도 충격이었습니다.				여신 제미나	
QUEST_20161005_004932	Toutes mes sœurs et mes prêtres m'avaient priée d'aider les humains. Cependant, les plantes me{nl}sont aussi précieuses que la vie des humains.	다른 여신들과 신도들이 모두 제게 인간을 도와달라고 간절히 기도하는 것을 들었습니다..{nl}하지만 여러분의 생명과 행복이 중요하듯 땅 속에 뿌리 내린 그들의 생명 또한 제겐 소중합니다.				여신 제미나	
QUEST_20161005_004933	C'est pourquoi j'étais entré dans la Tour de terre sans prendre de décision. J'avais décidé de{nl}fermer les yeux et les oreilles.	그래서 저는 그 어떤 결정도 내리지 못한 채 대지의 탑으로 들어왔습니다. {nl}그리고 눈과 귀를 닫은 나날들을 보내고 있었습니다.				여신 제미나	
QUEST_20161005_004934	Cependant... Après avoir écouté Ruta, il semble qu'il y ait des raisons de repenser votre monde.	그러나..{nl}루타의 이야기를 들어보니, 여러분 세계에 대한 제 생각을 재고할 이유가 생긴 듯 합니다.				여신 제미나	
QUEST_20161005_004935	Révélateur... Merci d'avoir aidé Ruta.	계시자여..{nl}루타를 도와줘서 고맙습니다.				여신 제미나	
QUEST_20161005_004936	Repartez pour le moment. Ruta vous renverra à l'entrée.	일단은 돌아가주세요.{nl}루타가 그대를 탑의 입구로 돌려보내줄 것입니다.				여신 제미나	
QUEST_20161005_004937	Je ne veux pas faire cela. Ma sœur... Ne pouvez-vous pas me comprendre ? Repensez-y...	이렇게까지 하고 싶지 않습니다.{nl}자매여.. 제 말뜻을 못 알아 들으시겠습니까?{nl}다시 한 번 생각해보세요.				마신 길티네	
QUEST_20161005_004938	Déesse Vaivora	여신 바이보라					
QUEST_20161005_004939	Vous avez blessé mes Kupoles, détruit ma bibliothèque et vous me menacez maintenant.	제 큐폴들을 해치고 도서관을 파괴하고 이젠 자매인 저를 협박하고 있군요.				여신 바이보라	
QUEST_20161005_004940	{nl}Giltine, qu'est-il arrivé à la sœur lumineuse que je connaissais ? Croyez-vous gagner sa faveur en{nl}faisant cela ?	{nl}길티네, 그렇게 총명하셨던 분이 어쩌다 이렇게 되신겁니까?{nl}이런다고 그 분이 좋아할 거라고 생각하는 건가요.				여신 바이보라	
QUEST_20161005_004941	{nl}Arrêtez immédiatement !	{nl}당장 그만 두세요!				여신 바이보라	
QUEST_20161005_004942	Je pensais que vous feriez cela. Je suis désolé, mais je ferai ce que je veux.	고지식한 당신이라면 이렇게 나올 줄 알았습니다.{nl}미안하지만 제 뜻대로 하겠습니다.				마신 길티네	
QUEST_20161005_004943	{nl}Theodora, je suis sûr que vous saurez ce que je vais faire puisque vous êtes une Kupole de{nl}Vaivora.	{nl}테오도라, 바이보라의 큐폴이라면 제가 무엇을 할지 잘 아시겠죠?				마신 길티네	
QUEST_20161005_004944	Theodora, non ! Je vais bien, n'écoutez pas Giltine !	테오도라, 안 됩니다!{nl}저는 괜찮으니 길티네의 말을 듣지 마세요!				여신 바이보라	
QUEST_20161005_004945	Que faites-vous, Vaivora...	이게 무슨 수작이죠, 바이보라..				마신 길티네	
QUEST_20161005_004946	{nl}Hauberk... J'ai entendu que vous alliez de l'avant avec un sorcier humain, mais comment{nl}osez-vous vous mêler de mon travail !	{nl}하우벅.. 네가 인간 마법사와 붙어 다닌다는 이야긴 들었다만 감히 내 일을 방해하려 들다니..!				마신 길티네	
QUEST_20161005_004947	Agailla Flurry, qu'est-ce que c'est ? Vous m'avez piégé !	아가일라 플러리, 이게 무슨 짓인가.{nl}날 함정에 빠뜨렸구나!				마군주 하우벅	
QUEST_20161005_004948	Je ne mens pas, Hauberk.	저는 거짓말을 하지 않았습니다. 하우벅.				아가일라 플러리	
QUEST_20161005_004949	{nl}Vous ne m'avez pas demandé. Je suis sûr que vous serez plus prudent en passant des marchés{nl}avec des humains à l'avenir.	{nl}당신이 물어보지 않았으니까요.{nl}다음에 인간과 계약할 땐 좀 더 주의하시는 게 좋으실 겁니다.				아가일라 플러리	
QUEST_20161005_004950	{nl}Bien sûr, à condition que Giltine vous laisse vivre.	{nl}물론 길티네가 당신을 살려준다면 말이죠.				아가일라 플러리	
QUEST_20161005_004951	Giltine... ! C'est un stratagème de l'humain ! Je ne vous ai pas trahie !	길티네님..! 이건 이 인간마법사의 계략입니다!{nl}전 배신하지 않았습니다!				마군주 하우벅	
QUEST_20161005_004952	Vous serez puni. Très douloureusement...	벌은 천천히 내려주마.{nl}아주 고통스럽게..				마신 길티네	
QUEST_20161005_004953	Je suppose que cette conversation devra attendre.	그럼 이 이야기를 잠시 미뤄야겠군요.				마신 길티네	
QUEST_20161005_004954	Je suis sûr que je serai trop fatiguée pour affronter Vaivora s'il me faut aussi m'occuper de vous{nl}tous. J'enverrai quelqu'un jouer avec vous à ma place.	조무래기들을 상대하고 바이보라를 설득하려면 꽤 피곤해지겠지.{nl}그러니 적당한 상대를 붙여주마.				마신 길티네	
QUEST_20161005_004955	Tuez-les tous.	전부 죽여라.				마신 길티네	
QUEST_20161005_004956	Les autres, venez avec moi.	나머지는 저와 함께 가주셔야 겠습니다.				마신 길티네	
QUEST_20161005_004957	Opérateur	교환원					
QUEST_20161005_004958	Le nombre de reliques échangées a augmenté après l'afflux d'aventuriers entrant dans la Tour de{nl}terre. J'ai entendu que le collectionneur était submergé de travail et je suis venu ici. Je vous{nl}échangerai contre tout ce qui a de la valeur que vous m'apporterez.	대지의 탑을 탐험하는 사람들이 많아지면서 거래되는 유물이 많아졌습니다.{nl}유물 수집담당 혼자선 벅차다는 이야기를 듣고 이렇게 달려왔지요.{nl}강력한 유물을 구하셨다면 제가 교환해드리겠습니다.				교환원	
QUEST_20161005_004959	Vous semblez être du genre aventureux. L'Alliance marchande de Kedora est un groupe qui suit{nl}les déesses. Nous ne faisons aucune affaire louche.	호기심이 많은 분이군요!{nl}케도라 상단은 여신을 따르는 집단입니다.{nl}어디 나쁜 곳에서 가져온 것은 아니니 안심하십시오.				교환원	
QUEST_20161005_004960	Ceux-ci viennent d'aventuriers comme vous. J'espère que nous pourrons aussi commencer à{nl}commercer avec vous.	당신과 같은 모험가들이 전국 방방곡곡을 여행하며 구한 물건들입니다.{nl}부디 당신과도 거래할 수 있으면 좋겠군요.				교환원	
QUEST_20161005_004961	J'ai beaucoup commercé avec d'autres royaumes plus petits avant de venir ici. Il y a là-bas{nl}beaucoup de monstres qu'on n'avait jamais vus. J'ai entendu que je devais venir ici peu après{nl}mon retour de cet endroit.	이 곳에 오기 전에는 배를 타고 왕국의 주변의 소국들을 오고 가며 거래를 해왔습니다.{nl}그 곳엔 왕국의 역사에 기록되지 않은 무시무시한 몬스터들이 여행자의 목숨을 노리는 곳이지요.{nl}그런 곳에서 돌아온 지 얼마 되지 않아 이 곳으로 지원을 나가달라는 이야기를 들었습니다.				교환원	
QUEST_20161005_004962	Je suis un peu fatigué car il n'y a pas longtemps que je suis arrivé. Reparlons plus tard.	여행에서 돌아온 지 얼마 되지 않아서 좀 피곤하군요.{nl}이야기는 여기까지 합시다.				교환원	
QUEST_20161005_004963	J'attendrai ici que vous reveniez avec un sac plein d'objets merveilleux.	전 이 바위에 걸터앉아서 당신이 멋진 물건을 가지고 돌아오시길 기다리겠습니다.				교환원	
QUEST_20161005_004964	Collecte d'Arcus Braken	아르커스 고사리 채집 중					
QUEST_20161005_004965	Vous avez collecté Arcus Braken	아르커스 고사리를 채집했습니다					
QUEST_20161005_004966	Collecte de Fleurs de Vink	빙크 꽃 채집 중					
QUEST_20161005_004967	Vous avez collecté Fleurs de Vink	빙크 꽃을 채집했습니다					
QUEST_20161005_004968	Collecte de Fleurs Tulup	튤럽 채집 중					
QUEST_20161005_004969	Vous avez collecté une Fleur Tulup	튤럽을 채집했습니다					
QUEST_20161005_004970	Collecte de Fougère Phamer	파마르 고사리 채집 중					
QUEST_20161005_004971	Vous avez collecté Fougère Phamer	파마르 고사리를 채집했습니다					
QUEST_20161005_004972	Recherche de Fougère Phamer	파마르 고사리가 있는지 살펴보는 중					
QUEST_20161005_004973	Vous avez collecté des pousses de Fougère Phamer	덜 자란 파마르 고사리를 채집했습니다					
QUEST_20161005_004974	Vous avez collecté du Fougère Phamer à pleine maturité	다 자란 파마르 고사리를 채집했습니다					
QUEST_20161005_004975	Il ne semble pas y avoir de Fougère Phamer près d'ici	여기엔 파마르 고사리가 없습니다					
QUEST_20161005_004976	Récolte d'Herbe Aily	아일리 풀입 채집 중					
QUEST_20161005_004977	Vous avez obtenu un fragment de monument.	기념비 조각을 획득했습니다					
QUEST_20161005_004978	Collecte des Herbes Mittelly	미탤리 약초 채집 중					
QUEST_20161005_004979	Vous avez collecté les herbes Mittelly	미탤리 약초를 획득했습니다					
QUEST_20161005_004980	Cela ne peut pas servir de médicament	약초로 쓸 수 없는 상태입니다					
QUEST_20161005_004981	Recherche de cocons	고치를 찾는 중					
QUEST_20161005_004982	Vous avez obtenu le cocon d'un Papillon de nuit de la forêt de l'arbre blanc	흰나무 숲 나방의 고치를 획득했습니다					
QUEST_20161005_004983	Vous n'avez aucun cocon	흰나무 숲 나방의 고치가 없습니다					
QUEST_20161005_004984	Recherche de bois utilisable	쓸만한 목재 찾는 중					
QUEST_20161005_004985	Vous avez obtenu du bois	목재를 획득했습니다					
QUEST_20161005_004986	Cela ne semble pas utilisable comme bois	목재로 쓰기엔 적합하지 않습니다					
QUEST_20161010_004987	Vous devez avoir au moins 5 recettes dans votre inventaire.	이 인벤토리에 5개이상 있어야 합니다.				이벤트 알림판	
QUEST_20161010_004988	Vous ne pouvez faire l'échange qu'une fois par jour et par compte. Veuillez réessayer demain.	계정당 하루 1회만 교환 가능합니다.{nl}내일 다시 찾아와주세요.				이벤트 알림판	
QUEST_20161024_004989	Recruteur de la Chasse aux Démons	마족 소탕 모집원					
QUEST_20161024_004990	Seigneur démon Warpulis se prépare à attaquer. Rejoindrez-vous la bataille contre les démons ?	마군주 워퓰리스가 침공을 준비하고 있습니다.{nl}마족과의 전투에 함께해주시겠어요?				마족 소탕 모집원	
QUEST_20161024_004991	Vous n'avez pas encore participé assez de fois.	참여 횟수가 부족합니다.				마족 소탕 모집원	
QUEST_20161130_004993	Voyez-vous quelque chose qui vous plaît ? Choisissez-en un, c'est votre choix.	받고 싶은 아이템이 있으신가요? 원하는걸 하나 고르세요.				이벤트 알림판	
QUEST_20161130_004994	Un excellent choix, si vous permettez la remarque. Ce sera prêt demain.	원하시는 아이템을 선택하셨군요. 내일 오시면 선택하신 아이템을 받을 수 있습니다.				이벤트 알림판	
QUEST_20161214_004995	Prenez ce cube. Bonne chance !	큐브를 받으세요.{nl}행운을 빌어요!				헤느리카	
QUEST_20161214_004996	Le cube vous sera utile.	큐브가 당신께 도움이 될 거에요.				플로아나	
QUEST_20161214_004997	Les expériences de combat sont particulièrement importantes en ces temps.	특히 전투에 관한 경험은 지금 같은 시기에 가장 중요한 경험담이지요.				레나	
QUEST_20161214_004998	Quelles tactiques et quelles stratégies ont été utilisées dans quelles situations. Ce sont autant{nl}d'informations précieuses.	어떤 상황에서 어떤 전략과 전술을 사용했는지.{nl}모든 정보는 가치가 있습니다.				라시아	
QUEST_20161214_004999	Diriger une guilde est assurément une expérience précieuse. Merci.	길드를 지휘하신 경험은 더더욱 값진 경험담이네요.{nl}감사드려요.				레나	
QUEST_20161214_005000	Les tactiques et stratégies d'un chef sont autant d'informations précieuses.	지휘자의 전략과 전술 하나하나가 값진 정보입니다.				라시아	
QUEST_20161214_005001	Identificatrice Sandra	감정사 산드라					
QUEST_20161214_005002	Trouver ce qui est caché est toujours un travail intéressant. Je suis sûr qu'il y a quelque chose à y{nl}gagner pour vous aussi. Très bien, laissez-moi y jeter un œil.	숨겨진 걸 알아내는 건 언제나 즐거운 작업이에요.{nl}분명 당신께도 도움이 될 거에요.{nl}자! 제게 맡겨 보세요.				감정사 산드라	
QUEST_20161214_005003	Mon mari prie toujours la déesse Zemyna. Nous ne pouvons pas nous permettre de nous mettre{nl}mal avec Elle si nous voulons que nos pommes de terre poussent. Zemyna est la déesse de la{nl}terre. Elle veille sur les cultures.	우리 바깥양반은 제미나 여신께 항상 기도를 올린다우.{nl}감자가 잘 자라려면 제미나 여신께 밉보이면 안 되거든.{nl}제미나 여신께선 대지의 여신이시지. 따라서 농경과 작물도 관여하셔.{nl}	QUEST_20150317_000385	Mon mari prie toujours la déesse Zemyna. Si tu veux une bonne récolte de pommes de terre, tu{nl}ne devrais pas te la mettre à dos. La déesse Zemyna est la déesse de la terre. Elle veille sur les{nl}fermes et l'agriculture.	우리 바깥양반은 제미나 여신께 항상 기도를 올린다우.{nl}감자가 잘 자라려면 제미나께 밉보이면 안 되거든.{nl}제미나 여신께선 대지의 여신이시지. 따라서 농경과 작물도 관여하셔.{nl}	걱정 많은 부인	
QUEST_20161214_005004	Pierre Tombale du Sceau	봉인의 비석					
QUEST_20161214_005005	Trouvez le mystère dans le feu doux qui brûle au milieu de la magie.	마력 가운데 은은히 타오르는 불꽃의 신비를 찾으라.				봉인의 비석	
QUEST_20161214_005006	Soyez celui qui suit la première lumière dans le ciel bleu.	창공에 처음 나타난 빛을 따르는 자가 되리라.				봉인의 비석	
QUEST_20161214_005007	Inclinez-vous devant la déesse universelle qui veille sur vous.	언제나 그대를 지탱하며 만물을 품어주는 여신에게 경배하라.				봉인의 비석	
QUEST_20161214_005008	Cicas	시카스					
QUEST_20161214_005009	Ugh... J'ai la poitrine en feu...	으으으.. 가슴이 타들어 가는 것 같아..				시카스	
QUEST_20161214_005010	Soldat de Soutien	지원 병사					
QUEST_20161214_005011	Jugrinas m'a prévenu. Vous avez dit que vous aideriez à l'enquête ?{nl}	유그리나스님에게 들었습니다.{nl}조사를 도와주셨다죠?{nl}				지원 병사	
QUEST_20161214_005012	Je vais chercher Jugrinas et Cicas maintenant. Merci de votre aide.	이제 유그리나스님과 시카스는 제가 모시고 가보겠습니다.{nl}도와주셔서 감사합니다.				지원 병사	
QUEST_20161214_005013	Le Traité Démons-déesses	마족과 여신의 서약					
QUEST_20161214_005014	Il y a bien longtemps, le Créateur nous a assigné notre devoir, et une discordance d'idées{nl}opposées a émergé. D'innombrables ères se sont écoulées depuis.{nl}	오래 전에, 창조주께서 우리에게 맡기신 임무를 놓고 양립할 수 없는 의견 충돌이 발생하였었다. {nl}그리고 그 후, 셀 수 없는 시간이 흘렀다.{nl}				마족과 여신의 서약	
QUEST_20161214_005015	Parmi les nombreux conflits d'opinions, aucun n'était aussi fervent que celui concernant{nl}l'humanité. Ignorer les différences entre les deux camps conduira sûrement à une guerre.{nl}	그러한 의견 대립 가운데 특히 인간에 대한 양측의 견해가 현저히 달랐다.{nl}그 차이를 이대로 방치할 경우 우리 사이의 대립은 결국은 전쟁으로 발전할 수밖에 없을 것이다.{nl}				마족과 여신의 서약	
QUEST_20161214_005016	Ainsi, Ausrine et Giltine, représentant chacun des camps du conflit, ont accepté un traité de{nl}paix. Aujourd'hui, nous promulguons ici l'engagement convenu et signé par les deux parties.{nl}	이에 양측의 대표인 아우슈리네와 길티네는 평화를 위한 협정을 맺는 일에 동의하였다. {nl}그리하여 오늘에 이르러 양측이 동의하고 서명한 조약을 여기서 체결하는 바이다. {nl}				마족과 여신의 서약	
QUEST_20161214_005017	Nous sommes des êtres nés des mêmes racines. Pourtant, nous avons mené notre querelle bien{nl}trop longtemps ; ce traité est, tristement, la seule occasion où nous sommes parvenus à un{nl}accord.{nl}	우리들은 태초에 하나의 뿌리에서 나온 존재들이다. {nl}그럼에도 불구하고 언제나 충돌하였고, 겨우 서로 동의할 수 있었던 일이 이 조약이라는 사실은 비통한 일이다.{nl}				마족과 여신의 서약	
QUEST_20161214_005018	Sans cela, nous ne trouverons rien qu'un malheur encore plus grand, et nous avons donc{nl}convenu de nous conformer aux directives qui suivent. Ausrine et Giltine en tant que{nl}représentantes, ainsi que tous nos frères et sœurs, jurent par la présente de souscrire à cet{nl}accord.{nl}	그러나 이것이 없다면 앞으로도 더욱 큰 불행이 찾아올 수 있기에 아래의 협정 사항들을 지키기로 결정하였다.{nl}따라서 아우슈리네와 길티네, 둘을 대표로 하고 모든 형제자매들이 그를 따르기로 맹세하는 바이다. {nl}				마족과 여신의 서약	
QUEST_20161214_005019	Nous choisissons ceci, l'une des voies par lesquelles nous avons d'abord fait sortir l'humanité de{nl}sous la terre, comme lieu de notre pacte. Comme nos opinions sur l'humanité divergeaient le{nl}plus, nous trouvons ce lieu approprié.	우리는 인간을 처음 지하에서 내보낸 통로 중 하나가 있었던 이곳을 맹약의 장소로 삼는다.{nl}이것은 양측의 대립이 결국 인간에 대한 입장 차이였으므로 적절하다고 할 수 있다.{nl}				마족과 여신의 서약	
QUEST_20161214_005020	Avec la promulgation de ce traité, nous visons la cessation de notre querelle millénaire. De plus,{nl}nous faisons savoir notre souhait que ceci devienne le début d'une paix éternelle. 	이제 오늘 이 조약이 맺어짐으로써 지난 수천 년간의 대립이 종식되기를 바란다. {nl}그리고 앞으로의 수천 년 아니 바라건대 영원한 평화의 기초가 되어 주기를 희망한다. 				마족과 여신의 서약	
